iter	Passed	Remaining
0	47	475158
1	48	241703
2	49	163879
3	49	124637
4	50	101173
5	51	85586
6	52	74400
7	52	66009
8	53	59418
9	54	54172
10	54	49862
11	55	46299
12	56	43277
13	57	40704
14	57	38436
15	58	36439
16	59	34710
17	59	33177
18	61	32182
19	62	31224
20	62	29865
21	63	28620
22	63	27466
23	63	26399
24	63	25418
25	63	24510
26	64	23674
27	64	22892
28	64	22167
29	64	21494
30	64	20861
31	65	20266
32	65	19711
33	65	19184
34	65	18690
35	65	18218
36	66	17776
37	66	17356
38	66	16961
39	66	16584
40	66	16223
41	66	15883
42	67	15555
43	67	15244
44	67	14946
45	67	14660
46	67	14387
47	68	14125
48	68	13874
49	68	13634
50	68	13401
