iter	Logloss
0	0.6836977005
1	0.6771135807
2	0.6683941841
3	0.6650395393
4	0.6562203407
5	0.6525801659
6	0.6461140156
7	0.6365315437
8	0.6322977543
9	0.6245234966
10	0.6176667213
11	0.611480999
12	0.6070878506
13	0.6030302048
14	0.6007549763
15	0.5929271698
16	0.5879881382
17	0.5829329014
18	0.5779632568
19	0.5758965015
20	0.5717970848
21	0.5636778355
22	0.5599862099
23	0.5544994354
24	0.5484099388
25	0.5427294731
26	0.5406229019
27	0.5359658241
28	0.5328578472
29	0.5289294243
30	0.5263072491
31	0.5220843315
32	0.5188948631
33	0.5150549412
34	0.5124999523
35	0.5107228279
36	0.5038233757
37	0.4993124008
38	0.4941524506
39	0.493065834
40	0.4913133621
41	0.4889453888
42	0.4876362801
43	0.4837062359
44	0.4812799454
45	0.4783852577
46	0.4740689754
47	0.471420002
48	0.468787384
49	0.4642877579
50	0.4605497837
