iter	Passed	Remaining
0	48	484755
1	50	251317
2	51	173065
3	53	133960
4	55	110486
5	56	94756
6	57	82733
7	58	73688
8	60	66656
9	61	61045
10	64	58440
11	65	54460
12	66	51042
13	67	47908
14	67	45203
15	68	42842
16	69	40745
17	70	38880
18	70	37211
19	72	36115
20	73	34759
21	73	33507
22	74	32348
23	75	31297
24	75	30266
25	76	29307
26	76	28412
27	77	27584
28	78	26819
29	78	26099
30	79	25428
31	79	24796
32	80	24198
33	80	23641
34	81	23113
35	81	22614
36	82	22144
37	82	21696
38	83	21273
39	83	20871
40	84	20486
41	84	20122
42	85	19772
43	85	19440
44	86	19123
45	86	18825
46	87	18536
47	88	18262
48	88	17994
49	89	17755
50	89	17514
