iter	Logloss
0	0.6773545855
1	0.6647470121
2	0.6543052996
3	0.6463296682
4	0.6383058799
5	0.6315074526
6	0.6252650391
7	0.6201883746
8	0.6150305976
9	0.6112838397
10	0.6075328468
11	0.6046242836
12	0.601864039
13	0.5984112483
14	0.5954979476
15	0.5927602403
16	0.5895260152
17	0.5872262954
18	0.5849901322
19	0.5825934717
20	0.580415807
21	0.5779046568
22	0.575471617
23	0.5737283126
24	0.5718761759
25	0.5699960113
26	0.5683530037
27	0.5666745438
28	0.5652236977
29	0.5633654331
30	0.5619351043
31	0.5607295979
32	0.5591349043
33	0.5574926902
34	0.5560613774
35	0.5548188218
36	0.5532803617
37	0.552327762
38	0.5511447231
39	0.5498134391
40	0.5486426435
41	0.5475180818
42	0.5460588294
43	0.5449498144
44	0.543856324
45	0.5427388907
46	0.5416664904
47	0.5403695338
48	0.5393601776
49	0.5384101128
50	0.5374425599
51	0.5365351698
52	0.5356224057
53	0.5345470552
54	0.5332932285
55	0.5322386499
56	0.5313887822
57	0.5306193093
58	0.5294526457
59	0.5284353538
60	0.5274813883
61	0.5267119384
62	0.5257030181
63	0.5249276519
64	0.5239931424
65	0.5229071141
66	0.522185566
67	0.5214253379
68	0.5206080308
69	0.5198042978
70	0.5188841053
71	0.518058652
72	0.5171083073
73	0.5163212776
74	0.5156030725
75	0.5148921791
76	0.5140677089
77	0.5132495185
78	0.5124798241
79	0.5117462296
80	0.511079158
81	0.5104540226
82	0.5098959577
83	0.5091808669
84	0.5083226907
85	0.507839687
86	0.5071475708
87	0.5066943355
88	0.5060916698
89	0.5053542872
90	0.5045737412
91	0.5037439899
92	0.5030330628
93	0.5022983602
94	0.5015688399
95	0.5009357236
96	0.5003031141
97	0.4998282499
98	0.4992317664
99	0.4986958532
100	0.4980826378
101	0.4975974237
102	0.4971135902
103	0.4965404211
104	0.4958805964
105	0.4952734497
106	0.494811243
107	0.4943092308
108	0.4938925608
109	0.4932729205
110	0.4927477592
111	0.4922363681
112	0.4917818152
113	0.4911207614
114	0.4905755464
115	0.4899715563
116	0.4896087433
117	0.489013179
