iter	Passed	Remaining
0	13	40705
1	23	35569
2	31	31116
3	37	28349
4	44	26655
5	50	25447
6	57	24716
7	64	24136
8	70	23580
9	77	23292
10	85	23253
11	93	23181
12	99	22893
13	118	25200
14	130	25924
15	137	25632
16	144	25394
17	151	25103
18	157	24756
19	164	24459
20	170	24150
21	177	23992
22	184	23864
23	194	24080
24	200	23855
25	206	23659
26	213	23453
27	219	23264
28	225	23076
29	230	22832
30	236	22662
31	242	22503
32	249	22391
33	255	22260
34	262	22262
35	268	22147
36	275	22045
37	281	21961
38	288	21880
39	295	21857
40	301	21761
41	307	21689
42	314	21619
43	320	21519
44	326	21467
45	333	21391
46	339	21326
47	345	21274
48	352	21220
49	359	21201
50	365	21136
51	371	21057
52	377	20998
53	383	20921
54	389	20856
55	397	20887
56	404	20868
57	413	20950
58	423	21109
59	429	21058
60	436	21020
61	444	21058
62	451	21063
63	458	21042
64	465	21002
65	472	21018
66	484	21209
67	490	21145
68	496	21099
69	503	21094
70	510	21042
71	517	21037
72	523	20980
73	529	20930
74	535	20875
75	541	20832
76	547	20794
77	553	20746
78	559	20695
79	566	20662
80	572	20626
81	578	20585
82	584	20537
83	590	20501
84	596	20458
85	602	20415
86	608	20377
87	615	20352
88	620	20307
89	626	20265
90	632	20222
91	645	20388
92	657	20545
93	670	20719
94	676	20681
95	685	20736
96	697	20876
97	706	20931
98	714	20946
99	721	20937
100	728	20901
101	734	20858
102	740	20829
103	748	20829
104	757	20884
105	765	20887
106	774	20927
107	781	20932
108	788	20925
109	795	20897
110	801	20854
111	808	20848
112	815	20835
113	824	20862
114	830	20839
115	839	20872
116	845	20838
117	851	20805
118	858	20774
119	864	20737
120	870	20711
121	877	20692
122	883	20665
123	889	20620
124	894	20579
125	900	20537
126	906	20499
127	911	20460
128	924	20576
129	937	20687
130	947	20755
131	953	20718
132	959	20674
133	964	20634
134	970	20604
135	978	20598
136	984	20566
137	990	20532
138	995	20489
139	1002	20475
140	1015	20590
141	1025	20646
142	1032	20620
