iter	Logloss
0	0.6827637225
1	0.674240727
2	0.6676342472
3	0.6618436376
4	0.6566227123
5	0.6521374367
6	0.6482308632
7	0.644926477
8	0.6421075985
9	0.6392618215
10	0.6368599676
11	0.6348150188
12	0.6329519946
13	0.6312639529
14	0.6298900947
15	0.6286600287
16	0.6275060346
17	0.6263204371
18	0.6252714963
19	0.6242928125
20	0.623266984
21	0.6223312789
22	0.6213779333
23	0.6205051296
24	0.6196985082
25	0.6190519889
26	0.6182881991
27	0.6176732798
28	0.6170404982
29	0.6163941821
30	0.6157343316
31	0.6151315511
32	0.6145090158
33	0.614027085
34	0.6135580019
35	0.6129122657
36	0.6124170167
37	0.6117314585
38	0.6112282828
39	0.6106983209
40	0.6099844436
41	0.6095194478
42	0.6089916956
43	0.6085428666
44	0.6081154036
45	0.607734115
46	0.6073766278
47	0.606944203
48	0.6065022228
49	0.6061017846
50	0.6056785142
51	0.60526922
52	0.604998247
53	0.6046947811
54	0.6042944424
55	0.6038179394
56	0.6032798093
57	0.602866001
58	0.6025347576
59	0.6022338397
60	0.6018323083
61	0.6015553893
62	0.6011947901
63	0.6007244525
64	0.6004211208
65	0.6000978013
66	0.5998034841
67	0.5995125236
68	0.5991936386
69	0.5988151531
70	0.5985414264
71	0.5982621788
72	0.5979929723
73	0.5977496411
74	0.597439779
75	0.5971596879
76	0.5967586147
77	0.5964968013
78	0.5962044845
79	0.5958763365
80	0.5956008324
81	0.5953102991
82	0.5950192042
83	0.5947236182
84	0.594559114
85	0.5942403956
86	0.5939333702
87	0.5936983223
88	0.5934086952
89	0.5931534048
90	0.5929228969
91	0.592716946
92	0.5924162314
93	0.5921802686
94	0.5919383052
95	0.5917688677
96	0.591490635
97	0.591259372
98	0.5910759038
99	0.5908851701
100	0.5906945855
101	0.5904098126
102	0.5901556731
103	0.5898431284
104	0.5895977815
105	0.5894030593
106	0.5891009468
107	0.5887814588
108	0.5885183906
109	0.58830915
110	0.5881039987
111	0.5878895953
112	0.5877222062
113	0.5875054844
114	0.5872860623
115	0.5871130775
116	0.5868336913
117	0.5866427019
118	0.5864374991
119	0.5862615056
120	0.5860320074
121	0.5858526751
122	0.5855455107
123	0.5853088902
124	0.5851152316
125	0.5849025091
126	0.5847280926
127	0.5844722587
128	0.5842748675
129	0.5841326788
