iter	Passed	Remaining
0	69	699010
1	83	416715
2	94	315624
3	105	264121
4	115	231867
5	125	209023
6	135	193969
7	145	181482
8	154	171432
9	163	163457
10	172	156791
11	181	151169
12	190	146401
13	199	142402
14	208	139123
15	218	136163
16	227	133333
17	236	131406
18	246	129435
19	255	127451
20	264	125834
21	276	125287
22	290	126005
23	303	126047
24	313	124941
25	322	123782
26	332	122743
27	342	121806
28	350	120671
29	359	119634
30	369	118776
31	378	117944
32	387	117116
33	396	116195
34	405	115372
35	414	114734
36	423	114145
37	433	113610
38	442	113072
39	451	112489
40	462	112230
41	471	111746
42	481	111531
43	494	111977
44	511	113227
45	522	112980
46	531	112595
47	541	112238
48	551	111985
49	560	111541
50	569	111067
51	578	110618
52	587	110187
53	596	109786
54	605	109503
55	614	109159
56	624	108877
57	633	108560
58	642	108201
59	651	107906
60	660	107617
61	669	107342
62	678	107085
63	689	107064
64	702	107378
65	712	107310
66	723	107221
67	732	107056
68	742	106870
69	752	106757
70	762	106608
71	771	106371
72	780	106124
73	789	105896
74	798	105686
75	807	105477
76	817	105295
77	826	105122
78	835	104938
79	844	104750
80	854	104639
81	864	104507
82	873	104335
83	884	104376
84	893	104189
85	903	104156
86	914	104241
87	925	104197
88	934	104095
89	945	104061
90	954	103942
91	964	103824
92	974	103777
93	983	103643
94	992	103501
95	1001	103313
96	1010	103195
97	1020	103070
98	1029	102972
99	1038	102822
100	1047	102665
101	1056	102566
102	1065	102416
103	1075	102352
104	1085	102288
105	1094	102143
106	1103	102063
107	1114	102068
108	1130	102544
109	1140	102510
110	1150	102471
111	1162	102663
112	1172	102602
113	1182	102581
114	1192	102535
115	1202	102449
116	1212	102397
117	1221	102305
118	1230	102132
119	1238	101990
120	1247	101851
121	1256	101743
122	1266	101683
123	1275	101591
124	1284	101503
125	1294	101480
126	1303	101365
127	1313	101268
128	1323	101277
129	1341	101835
130	1359	102408
131	1372	102590
132	1390	103156
133	1399	103029
134	1408	102901
135	1417	102827
136	1427	102764
137	1436	102664
138	1445	102547
139	1454	102457
140	1463	102364
141	1472	102255
142	1482	102188
143	1491	102101
144	1500	101984
145	1509	101883
146	1518	101786
147	1528	101733
148	1539	101784
149	1549	101779
150	1560	101769
151	1570	101727
152	1579	101650
153	1588	101591
154	1598	101559
155	1608	101474
156	1617	101411
157	1626	101297
158	1635	101211
159	1644	101121
160	1653	101066
161	1663	100992
162	1672	100914
163	1681	100823
164	1690	100762
165	1699	100705
166	1709	100647
167	1719	100603
168	1728	100551
169	1738	100533
170	1751	100673
171	1770	101169
172	1789	101625
173	1803	101831
174	1813	101829
175	1823	101771
176	1832	101678
177	1841	101625
178	1850	101535
179	1859	101453
180	1868	101376
181	1880	101438
182	1889	101343
183	1897	101240
184	1906	101168
185	1915	101087
186	1925	101032
187	1935	101002
188	1943	100909
189	1953	100847
190	1963	100848
191	1973	100835
192	1983	100808
